title,url,writer
단돈 800달러짜리 위성 수신 장비로도 세계 통신 도청 가능!... 美 대학 연구팀 시연,http://boannews.com/media/view.asp?idx=139794&page=1&kind=1,한세희 기자 | 2025년 10월 16일 13:49
"KT 불법 기지국 ID 20개 추가 발견, 피해 규모도 늘어나",http://boannews.com/media/view.asp?idx=139790&page=2&kind=1,조재호 기자 | 2025년 10월 16일 11:41
"파수, 글로벌 반도체·자동차 산업 보안 비즈니스 확장 본격화",http://boannews.com/media/view.asp?idx=139788&page=2&kind=3,조재호 기자 | 2025년 10월 16일 11:14
"삼성전자, ‘2025 우수기술 설명회’ 개최...보유특허 무상 지원",http://boannews.com/media/view.asp?idx=139789&page=2&kind=1,IP전략연구소 | 2025년 10월 16일 11:05
구혁채 차관 “공공기관 보안 강화 핵심과제...지원 아끼지 않을 것“,http://boannews.com/media/view.asp?idx=139787&page=2&kind=1,강현주 기자 | 2025년 10월 16일 10:56
"‘오네’·‘윤800’체, 아름다운 상표·한글디자인에 피선",http://boannews.com/media/view.asp?idx=139786&page=2&kind=1,IP전략연구소 | 2025년 10월 16일 10:53
[카드뉴스] 캄보디아 납치사건의 시작은 개인정보 유출… ‘고수익 알바’ SNS 유혹 주의보,http://boannews.com/media/view.asp?idx=139785&page=2&kind=1,지진솔 기자 | 2025년 10월 16일 10:43
"스틸리언, ‘2025년 서울형 강소기업’ 최종 선정",http://boannews.com/media/view.asp?idx=139784&page=2&kind=2,조재호 기자 | 2025년 10월 16일 10:34
"“마이크로세그멘테이션, 랜섬웨어 차단 시간 33% 단축”...보험료도 절감",http://boannews.com/media/view.asp?idx=139783&page=2&kind=3,강현주 기자 | 2025년 10월 16일 10:26
"유니온바이오메트릭스, 프랑스 AI 데이터센터에 지능형 생체인식 보안 솔루션 구축",http://boannews.com/media/view.asp?idx=139782&page=2&kind=3,강초희 기자 | 2025년 10월 16일 10:26
"엑시스, AI 보안 ‘엑시스 솔루션 컨퍼런스 2025’ 성료",http://boannews.com/media/view.asp?idx=139780&page=2&kind=3,강초희 기자 | 2025년 10월 16일 10:17
"이글루코퍼레이션-소프트캠프, N2SF 전환 사업 협력",http://boannews.com/media/view.asp?idx=139781&page=2&kind=3,조재호 기자 | 2025년 10월 16일 10:09
"[IP포토] “EU특허, 이렇게 내세요.”...지재처, ‘유럽 지식재산 제도 설명회’ 개최",http://boannews.com/media/view.asp?idx=139779&page=2&kind=1,IP전략연구소 | 2025년 10월 16일 09:04
멘로시큐리티 CEO “브라우저 기반 보안으로 한국 금융권도 혁신”,http://boannews.com/media/view.asp?idx=139778&page=2&kind=3,강현주 기자 | 2025년 10월 15일 18:30
"글로벌 AI 활용 선두주자 기업들, “보안도 경쟁력으로 전환했다”",http://boannews.com/media/view.asp?idx=139777&page=2&kind=3,조재호 기자 | 2025년 10월 15일 17:52
"엔피코어 ‘IndoSec 2025’ 참가 성료, 동남아 시장 공략 가속화",http://boannews.com/media/view.asp?idx=139775&page=2&kind=3,조재호 기자 | 2025년 10월 15일 15:13
"K-특허 최대 거함 ‘윕스號’, 어디로?...잇단 송사에, CEO 리스크까지",http://boannews.com/media/view.asp?idx=139776&page=2&kind=1,IP전략연구소 | 2025년 10월 15일 15:05
싸이터 ‘코마린’서 선박 수명주기 기반 사이버보안 솔루션 선봬,http://boannews.com/media/view.asp?idx=139774&page=2&kind=3,조재호 기자 | 2025년 10월 15일 14:15
한국퀀텀컴퓨팅-한국생명정보학회와 양자컴퓨팅 기반 바이오 연구 ‘맞손’,http://boannews.com/media/view.asp?idx=139772&page=2&kind=3,조재호 기자 | 2025년 10월 15일 13:48
"英 정부, “최종적 방어 실패 책임은 CEO에 있다”",http://boannews.com/media/view.asp?idx=139773&page=2&kind=4,한세희 기자 | 2025년 10월 15일 13:46
